,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
174,2926711620,1654599251,812,Rogers Communications Canada Inc.,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,1
175,1654599251,2393314965,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5194,-52.8122,28
176,1654599250,405133426,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,45.5394,-73.6513,92
177,405133426,1654599250,5769,Videotron Telecom Ltee,45.5394,-73.6513,395766,CloudPBX,40.7432,-75.2242,248
178,1654599251,405133426,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,45.5394,-73.6513,80
179,1616866353,1654599251,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,395766,CloudPBX,40.7432,-75.2242,47
180,1654599251,1676840295,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,48.9682,-54.5906,91
181,1210508163,1654599250,7992,Cogeco Cable,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242,305
182,1654599250,3640363090,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,49.2788,-123.1139,34
183,1654599250,855010549,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,30
184,2393257058,1654599251,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,72
185,1745319148,1654599251,7018,"AT&T Services, Inc.",39.8401,-86.0548,395766,CloudPBX,40.7432,-75.2242,148
186,855405977,1654599250,7922,"Comcast Cable Communications, LLC",41.7195,-86.2064,395766,CloudPBX,40.7432,-75.2242,146
187,1654599250,1616866354,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,132
188,2918435450,1654599251,40191,ZEROFAIL,45.4987,-73.5793,395766,CloudPBX,40.7432,-75.2242,31
189,1654599251,3514831954,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5167,-52.7833,86
190,1676840295,1654599250,812,Rogers Communications Canada Inc.,48.9682,-54.5906,395766,CloudPBX,40.7432,-75.2242,78
191,2393277605,1654599250,855,Bell Canada,45.2308,-66.0953,395766,CloudPBX,40.7432,-75.2242,98
192,1749006169,1654599250,7018,"AT&T Services, Inc.",39.9738,-86.1765,395766,CloudPBX,40.7432,-75.2242,35
193,1654599250,1096686281,395766,CloudPBX,40.7432,-75.2242,577,Bell Canada,46.7749,-71.3344,23
194,2393257380,1654599250,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,154
195,2393314888,1654599251,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242,38
196,3225808030,1654599250,7992,Cogeco Cable,43.6319,-79.3716,395766,CloudPBX,40.7432,-75.2242,2
197,1654599251,855187221,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199,21
198,2393257342,1654599251,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,58
199,851601933,1654599251,7922,"Comcast Cable Communications, LLC",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242,48
200,1654599251,2904576785,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.5986,-52.6926,71
201,411891757,1654599251,40788,Start Communications,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242,182
202,3480447026,1654599251,11478,Openface Inc.,45.4805,-73.5554,395766,CloudPBX,40.7432,-75.2242,80
203,1654599250,3480447027,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.4805,-73.5554,26
204,410719962,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264,395766,CloudPBX,40.7432,-75.2242,175
205,1210491342,1654599250,7992,Cogeco Cable,42.3167,-82.9,395766,CloudPBX,40.7432,-75.2242,16
206,1210491342,1654599251,7992,Cogeco Cable,42.3167,-82.9,395766,CloudPBX,40.7432,-75.2242,13
207,1663736670,1654599251,7018,"AT&T Services, Inc.",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242,83
208,2913301853,1654599250,7922,"Comcast Cable Communications, LLC",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242,64
209,1804310580,1654599250,7018,"AT&T Services, Inc.",41.7403,-87.654,395766,CloudPBX,40.7432,-75.2242,29
210,2918435450,1654599250,40191,ZEROFAIL,45.4987,-73.5793,395766,CloudPBX,40.7432,-75.2242,29
211,1616866353,1654599250,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,395766,CloudPBX,40.7432,-75.2242,32
212,1654599250,1229012093,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",44.9198,-93.4832,23
213,1804310580,1654599251,7018,"AT&T Services, Inc.",41.7403,-87.654,395766,CloudPBX,40.7432,-75.2242,34
214,1676361733,1654599251,812,Rogers Communications Canada Inc.,43.8177,-79.2819,395766,CloudPBX,40.7432,-75.2242,26
215,2391207502,1654599251,855,Bell Canada,47.483000000000004,-52.8415,395766,CloudPBX,40.7432,-75.2242,5
