,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
138,1150482625,3227975251,6327,Shaw Communications Inc.,51.0419,-114.2,395152,CloudPBX,43.6319,-79.3716,5
139,3492161874,3227975251,852,TELUS Communications Inc.,51.0242,-114.1004,395152,CloudPBX,43.6319,-79.3716,305
140,1077449335,3227975250,15102,WiBand Communications,53.4179,-113.5785,395152,CloudPBX,43.6319,-79.3716,217
141,1676935419,3227975251,812,Rogers Communications Canada Inc.,43.0614,-80.9943,395152,CloudPBX,43.6319,-79.3716,340
142,3227975251,845316559,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0423,-122.2835,15
143,3236611778,3227975251,14007,Skyway West,49.222,-123.0683,395152,CloudPBX,43.6319,-79.3716,274
144,3227975251,3236611778,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.222,-123.0683,118
145,2675364373,3227975250,11492,"Cable One, Inc.",30.4672,-89.2763,395152,CloudPBX,43.6319,-79.3716,3
146,3227975250,2675364373,395152,CloudPBX,43.6319,-79.3716,11492,"Cable One, Inc.",30.4672,-89.2763,2
147,2892906962,3227975251,15290,Allstream Corp.,43.6655,-79.4204,395152,CloudPBX,43.6319,-79.3716,135
148,3227975251,1244849474,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.316,-123.0576,390
149,3227975250,3512424079,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.585,-113.5526,783
150,3091427666,3227975250,6327,Shaw Communications Inc.,49.2167,-122.9167,395152,CloudPBX,43.6319,-79.3716,133
151,3227975251,3512424079,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.585,-113.5526,806
152,1268596475,3227975250,852,TELUS Communications Inc.,49.0384,-122.3485,395152,CloudPBX,43.6319,-79.3716,15
153,3227975250,3236611778,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.222,-123.0683,129
154,1178711303,3227975250,6327,Shaw Communications Inc.,49.6511,-112.8351,395152,CloudPBX,43.6319,-79.3716,79
155,3475125993,3227975250,6171,WorldGate,53.4154,-113.4178,395152,CloudPBX,43.6319,-79.3716,140
156,407950571,3227975250,6327,Shaw Communications Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,101
157,3487047224,3227975250,852,TELUS Communications Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,549
158,1244849474,3227975251,14007,Skyway West,49.316,-123.0576,395152,CloudPBX,43.6319,-79.3716,429
159,3227975251,1090360462,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2866,-123.1158,660
160,1077449335,3227975251,15102,WiBand Communications,53.4179,-113.5785,395152,CloudPBX,43.6319,-79.3716,211
161,1268596475,3227975251,852,TELUS Communications Inc.,49.0384,-122.3485,395152,CloudPBX,43.6319,-79.3716,9
162,3227975251,3455714514,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.076,-121.9883,13
163,1653560011,3227975250,19171,Stargate Connections Inc.,49.2795,-123.0667,395152,CloudPBX,43.6319,-79.3716,460
164,3227975251,1090362003,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2666,-123.1976,1798
165,3227975251,1167871176,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.6555,-79.3626,1
166,3227975251,386989957,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0791,-122.7553,88
167,1674027313,3227975251,852,TELUS Communications Inc.,49.0423,-122.2835,395152,CloudPBX,43.6319,-79.3716,18
168,3227975251,1614246579,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.0997,-122.6526,21
169,3455714514,3227975251,852,TELUS Communications Inc.,49.076,-121.9883,395152,CloudPBX,43.6319,-79.3716,24
170,3227975251,1268596475,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0384,-122.3485,14
171,3227975251,1268774617,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,51.0242,-114.1004,216
172,3227975250,386989957,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0791,-122.7553,84
173,1268774617,3227975251,852,TELUS Communications Inc.,51.0242,-114.1004,395152,CloudPBX,43.6319,-79.3716,195
174,3227975250,3512272902,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.7168,-113.2187,192
175,2919739481,3227975251,6327,Shaw Communications Inc.,49.2833,-123.1298,395152,CloudPBX,43.6319,-79.3716,449
176,3227975250,3463712682,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2327,-123.0917,209
177,3227975250,386965699,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2795,-123.0667,224
178,3227975251,1077449335,395152,CloudPBX,43.6319,-79.3716,15102,WiBand Communications,53.4179,-113.5785,295
179,3091427666,3227975251,6327,Shaw Communications Inc.,49.2167,-122.9167,395152,CloudPBX,43.6319,-79.3716,139
180,1653559798,3227975250,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,241
181,1090360462,3227975251,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,1321
182,3091700558,3227975251,6327,Shaw Communications Inc.,49.141000000000005,-122.8569,395152,CloudPBX,43.6319,-79.3716,100
183,1674014486,3227975251,852,TELUS Communications Inc.,49.299,-123.1408,395152,CloudPBX,43.6319,-79.3716,181
184,3227975250,1077449335,395152,CloudPBX,43.6319,-79.3716,15102,WiBand Communications,53.4179,-113.5785,287
185,3624749586,3227975250,15290,Allstream Corp.,43.5924,-79.7611,395152,CloudPBX,43.6319,-79.3716,462
186,3227975250,2892906962,395152,CloudPBX,43.6319,-79.3716,15290,Allstream Corp.,43.6655,-79.4204,29
187,3475125993,3227975251,6171,WorldGate,53.4154,-113.4178,395152,CloudPBX,43.6319,-79.3716,124
188,1090362003,3227975251,19171,Stargate Connections Inc.,49.2666,-123.1976,395152,CloudPBX,43.6319,-79.3716,2324
189,3227975251,1677282775,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,44.0433,-79.4912,69
190,3227975250,3497430254,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2788,-123.1139,876
191,407950571,3227975251,6327,Shaw Communications Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,90
192,3227975250,3475125993,395152,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.4154,-113.4178,292
193,3227975251,1090360550,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2866,-123.1158,312
194,2731908580,3227975250,54527,Astute Hosting Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,171
195,3487073957,3227975250,852,TELUS Communications Inc.,49.2603,-123.146,395152,CloudPBX,43.6319,-79.3716,174
