,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,send_A,count,mean_qualfun,mean_mos
110,3227975507,1082947564,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6572,-79.3783,False,659,0.011033977986912743,42.03793626707132
111,3233437542,3227975506,7992,Cogeco Cable,42.9578,-82.2777,393755,CloudPBX,43.6319,-79.3716,True,334,0.0012049002829728486,44.949101796407184
112,3227975507,3225808180,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.6319,-79.3716,False,869,0.00022772931689813675,44.995397008055235
113,3227975506,1249172405,393755,CloudPBX,43.6319,-79.3716,15122,Point to Point Broadband Inc.,44.4548,-79.7352,False,909,0.0002218127474352548,44.88998899889989
114,1249172405,3227975506,15122,Point to Point Broadband Inc.,44.4548,-79.7352,393755,CloudPBX,43.6319,-79.3716,True,812,0.00011220468260004588,44.97660098522167
115,1082947125,3227975507,40788,Start Communications,43.6572,-79.3783,393755,CloudPBX,43.6319,-79.3716,True,1381,0.00011060556265563885,44.981173062997826
116,1082947125,3227975506,40788,Start Communications,43.6572,-79.3783,393755,CloudPBX,43.6319,-79.3716,True,1076,0.00010561020534750544,44.99163568773234
117,1210458902,3227975507,7992,Cogeco Cable,42.9998,-82.3926,393755,CloudPBX,43.6319,-79.3716,True,1451,0.0001952847405371504,44.97518952446588
118,3227975507,1210458902,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9998,-82.3926,False,909,0.00025212468815608095,44.99009900990099
119,3227975506,2926783645,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,42.8909,-81.3236,False,143,0.00013940631263765027,44.97902097902098
120,3638379600,3227975507,7992,Cogeco Cable,42.9888,-82.3592,393755,CloudPBX,43.6319,-79.3716,True,1451,0.0016131535584904281,44.95382494831151
121,3227975506,1082947184,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6572,-79.3783,False,100,0.005369204000581808,42.78
122,3227975507,2734649389,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.623000000000005,-79.3936,False,1309,7.52362543578579e-05,44.98701298701299
123,3227975507,3638379610,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9888,-82.3592,False,42,0.00012545443709398652,44.976190476190474
124,1082947564,3227975507,40788,Start Communications,43.6572,-79.3783,393755,CloudPBX,43.6319,-79.3716,True,350,0.020504643097287698,43.894285714285715
125,1664327376,3227975506,7018,"AT&T Services, Inc.",42.586000000000006,-83.5006,393755,CloudPBX,43.6319,-79.3716,True,144,3.580792365248633e-05,45.0
126,3227975507,412232355,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.95,-82.1167,False,550,0.00181160304978015,43.905454545454546
127,2734649389,3227975506,40788,Start Communications,43.623000000000005,-79.3936,393755,CloudPBX,43.6319,-79.3716,True,1512,9.866443078903506e-05,44.98148148148148
128,3227975506,2734649389,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.623000000000005,-79.3936,False,1408,3.8872545861840595e-05,44.98721590909091
129,412232355,3227975507,7992,Cogeco Cable,42.95,-82.1167,393755,CloudPBX,43.6319,-79.3716,True,520,0.002135052187917555,43.98461538461538
130,3227975507,3514831954,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5167,-52.7833,False,198,3.395860294635279e-05,44.974747474747474
131,1676539840,3227975507,812,Rogers Communications Canada Inc.,47.6333,-52.85,393755,CloudPBX,43.6319,-79.3716,True,1136,0.002412658056822908,44.84507042253521
132,1210478642,3227975506,7992,Cogeco Cable,43.3512,-79.78399999999999,393755,CloudPBX,43.6319,-79.3716,True,1084,0.00024094587881680048,44.936346863468636
133,3227975507,1082947125,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6572,-79.3783,False,716,7.275159522272096e-05,44.995810055865924
134,3227975506,412232355,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.95,-82.1167,False,465,0.0018447845347414331,43.935483870967744
135,1082947488,3227975507,40788,Start Communications,43.8404,-79.0251,393755,CloudPBX,43.6319,-79.3716,True,403,0.00863839736404985,44.18610421836228
136,2734649919,3227975506,40788,Start Communications,43.623000000000005,-79.3936,393755,CloudPBX,43.6319,-79.3716,True,403,0.0005359056039913098,44.945409429280396
137,3227975506,2393277605,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,45.2308,-66.0953,False,45,2.095355899509629e-05,45.0
138,760135190,3227975507,7992,Cogeco Cable,42.3333,-82.0,393755,CloudPBX,43.6319,-79.3716,True,709,0.0056908442172252235,44.84485190409027
139,1168513348,3227975506,36493,FIBERNETICS CORPORATION,43.5637,-79.7202,393755,CloudPBX,43.6319,-79.3716,True,384,0.004652114281018543,44.580729166666664
140,2734649389,3227975507,40788,Start Communications,43.623000000000005,-79.3936,393755,CloudPBX,43.6319,-79.3716,True,1488,0.00011287607546755573,44.98857526881721
141,2734649919,3227975507,40788,Start Communications,43.623000000000005,-79.3936,393755,CloudPBX,43.6319,-79.3716,True,424,0.00037749356825516397,44.948113207547166
142,3227975507,3638379597,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9888,-82.3592,False,1151,0.010212132743002863,43.72719374456994
143,3638379600,3227975506,7992,Cogeco Cable,42.9888,-82.3592,393755,CloudPBX,43.6319,-79.3716,True,1265,0.001403260076928387,44.95415019762846
144,3227975506,412233259,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,44.9001,-76.2494,False,376,0.00021168311640397435,44.986702127659576
145,2926783645,3227975507,812,Rogers Communications Canada Inc.,42.8909,-81.3236,393755,CloudPBX,43.6319,-79.3716,True,101,0.00017620097441244743,44.95049504950495
146,3227975506,1176303759,393755,CloudPBX,43.6319,-79.3716,36522,BELL MOBILITY INC.,44.2099,-80.6238,False,188,0.026232736974335202,43.409574468085104
147,1217073606,3227975507,812,Rogers Communications Canada Inc.,43.75,-79.3978,393755,CloudPBX,43.6319,-79.3716,True,97,0.002312651582418056,44.70103092783505
148,3227975506,405976275,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2271,-79.87100000000001,False,40,0.0002058716280621005,44.65
149,3227975506,3233437542,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9578,-82.2777,False,157,0.0004557379790971253,44.961783439490446
150,3227975506,1217073606,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.75,-79.3978,False,127,0.00175868121477888,44.8503937007874
151,3227975506,2392989210,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5986,-52.6926,False,78,0.0009205725366404799,44.8974358974359
152,3227975506,1217118827,393755,CloudPBX,43.6319,-79.3716,20453,Rogers Communications Canada Inc.,43.6404,-79.3995,False,60,0.0008321200568563318,45.0
153,3227975507,1210478642,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.3512,-79.78399999999999,False,866,8.805242380414769e-05,44.95727482678984
154,3638379112,3227975507,7992,Cogeco Cable,42.9888,-82.3592,393755,CloudPBX,43.6319,-79.3716,True,464,0.0039456063714434254,44.6551724137931
155,3638379597,3227975506,7992,Cogeco Cable,42.9888,-82.3592,393755,CloudPBX,43.6319,-79.3716,True,663,0.013478960842980182,44.15384615384615
156,1082947184,3227975506,40788,Start Communications,43.6572,-79.3783,393755,CloudPBX,43.6319,-79.3716,True,173,0.004252147621156186,44.190751445086704
157,2926902910,3227975507,812,Rogers Communications Canada Inc.,42.7597,-81.1762,393755,CloudPBX,43.6319,-79.3716,True,547,0.0037620816213447842,44.875685557586834
158,3227975507,2266474856,393755,CloudPBX,43.6319,-79.3716,5645,"TekSavvy Solutions, Inc.",42.9976,-81.2563,False,392,0.004742709667447355,44.78061224489796
159,3227975507,3638379699,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9578,-82.2777,False,998,0.00022528103635431162,44.9939879759519
160,3517667510,3227975507,852,TELUS Communications Inc.,43.6655,-79.4204,393755,CloudPBX,43.6319,-79.3716,True,109,0.0013584299203974765,44.972477064220186
161,3227975506,3345303600,393755,CloudPBX,43.6319,-79.3716,14007,Skyway West,43.623000000000005,-79.3936,False,4862,0.00026050648319501566,44.80995475113122
162,418079237,3227975507,812,Rogers Communications Canada Inc.,43.6319,-79.3716,393755,CloudPBX,43.6319,-79.3716,True,1049,0.0005751978212988241,44.8789323164919
163,1761238421,3227975507,15128,Comwave Telecom Inc.,43.8432,-79.5644,393755,CloudPBX,43.6319,-79.3716,True,1322,0.00011014689710925689,44.98260211800302
164,3227975506,2393314975,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5194,-52.8122,False,586,5.4820170386097376e-05,44.996587030716725
165,418079237,3227975506,812,Rogers Communications Canada Inc.,43.6319,-79.3716,393755,CloudPBX,43.6319,-79.3716,True,1086,0.0005206403675129426,44.92725598526704
