,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
643202,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0443,-81.2391
646530,395152,CloudPBX,43.6319,-79.3716,11260,EastLink,45.0963,-63.4701
648574,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.1836,-123.1168
657674,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.1604,-119.8618
701170,395152,CloudPBX,43.6319,-79.3716,22995,Xplornet Communications Inc.,46.2801,-79.4502
709629,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.17,-123.1368
740831,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.623,-79.3936
746341,395152,CloudPBX,43.6319,-79.3716,15122,Point to Point Broadband Inc.,44.4548,-79.7352
747947,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2551,-123.0667
762307,395152,CloudPBX,43.6319,-79.3716,25668,Cipherkey Exchange Corp.,49.2302,-122.9952
763051,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2275,-122.9301
773110,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,50.1208,-122.9544
810476,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.6,-119.6667
818174,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.4806,-119.5858
824429,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2271,-79.871
948956,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,46.7589,-71.298
993334,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.7002,-123.156
1027817,395152,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",39.895,-86.1804
1053745,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.6319,-79.3716
1053750,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.1783,-82.7715
1053760,395152,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,43.0233,-81.1643
1053768,395152,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,43.6564,-79.386
1053796,395152,CloudPBX,43.6319,-79.3716,20115,Charter Communications,43.3208,-88.0314
1053826,395152,CloudPBX,43.6319,-79.3716,36522,BELL MOBILITY INC.,44.4548,-79.7352
1053864,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.2767,-83.0793
1053877,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.95,-82.1167
1053885,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.3799,-79.7668
1053895,395152,CloudPBX,43.6319,-79.3716,15290,Allstream Corp.,43.6513,-79.3756
1053966,395152,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,44.25,-80.55
1054022,395152,CloudPBX,43.6319,-79.3716,36493,FIBERNETICS CORPORATION,43.5637,-79.7202
1054097,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.75,-79.3978
1054125,395152,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,43.2164,-79.7423
1054154,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.8833,-82.15
1054157,395152,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,44.0168,-78.3995
1054178,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,44.6087,-79.4207
1054330,395152,CloudPBX,43.6319,-79.3716,20453,Rogers Communications Canada Inc.,43.6404,-79.3995
1054446,395152,CloudPBX,43.6319,-79.3716,5645,"TekSavvy Solutions, Inc.",42.9976,-81.2563
1054552,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.8686,-86.1003
1054613,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2001,-79.5663
1054735,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6655,-79.4204
1054758,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9001,-78.9329
1054895,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5588,-80.3004
1054951,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199
1055011,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,42.9644,-82.3259
1055096,395152,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,46.8287,-71.334
1055111,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9062,-82.11
1055199,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9888,-82.3592
1055310,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.8227,-86.145
