,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long
10194,411891757,1654599250,40788,Start Communications,24.140.248.45,42.9888,-82.3592,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
10307,1654599251,3626900266,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,11478,Openface Inc.,216.46.27.42,45.47,-73.6686
10711,3480447027,1654599250,11478,Openface Inc.,207.115.104.51,45.4805,-73.5554,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
11101,410719962,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",24.123.22.218,40.5099,-85.6264,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
11292,1677535485,1654599251,812,Rogers Communications Canada Inc.,99.253.40.253,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
11738,3507478250,1654599251,13768,Cogeco Peer 1,209.15.222.234,43.6021,-79.5402,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
11882,409640138,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",24.106.156.202,40.4894,-85.5977,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
12057,2886637142,1654599251,7018,"AT&T Services, Inc.",172.14.150.86,39.8227,-86.145,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
13067,409640138,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",24.106.156.202,40.4894,-85.5977,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
13672,2393257217,1654599250,855,Bell Canada,142.166.53.1,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
13839,1210458660,1654599250,7992,Cogeco Cable,72.38.34.36,42.9062,-82.11,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
13948,215430723,1654599250,7018,"AT&T Services, Inc.",12.215.54.67,37.751,-97.822,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
14088,405133426,1654599251,5769,Videotron Telecom Ltee,24.37.216.114,45.5394,-73.6513,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
14214,1654599251,409640138,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",24.106.156.202,40.4894,-85.5977
14217,1745054491,1654599251,7018,"AT&T Services, Inc.",104.3.107.27,39.7132,-86.2617,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
14247,410720570,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",24.123.25.58,39.895,-86.1804,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
14351,1663736670,1654599250,7018,"AT&T Services, Inc.",99.42.155.94,37.751,-97.822,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
14661,1632556726,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.214.182,39.7851,-86.1665,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
14931,2730633589,1654599251,7018,"AT&T Services, Inc.",162.194.41.117,39.8512,-86.2651,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
14978,1616866354,1654599250,7922,"Comcast Cable Communications, LLC",96.95.108.50,41.8876,-87.6368,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
15058,1826039003,1654599250,7018,"AT&T Services, Inc.",108.215.36.219,39.7838,-86.0477,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
