,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
968689,14007,Skyway West,48.4167,-123.365,395766,CloudPBX,40.7432,-75.2242
968691,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.262,-123.0923
968765,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.1285,-122.6236
968778,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.299,-123.1408
968780,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.2475,-123.121
968824,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.2788,-123.1139
968896,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,53.585,-113.5526
968968,19171,Stargate Connections Inc.,49.316,-123.0576,395766,CloudPBX,40.7432,-75.2242
968990,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,50.0163,-124.3226
969095,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.2068,-122.4851
969130,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,49.2807,-123.0397
969239,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.316,-123.0576
969246,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.3615,-123.2627
969251,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,49.316,-123.0576
969292,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.25,-123.1333
969497,15290,Allstream Corp.,43.5924,-79.7611,395766,CloudPBX,40.7432,-75.2242
969527,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.2492,-123.1104
969577,395766,CloudPBX,40.7432,-75.2242,40029,Novus Entertainment Inc.,49.2788,-123.1139
969616,395766,CloudPBX,40.7432,-75.2242,16509,"Amazon.com, Inc.",45.8696,-119.688
969655,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.2475,-123.121
969658,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,49.222,-123.0683
969672,6327,Shaw Communications Inc.,49.2788,-123.1139,395766,CloudPBX,40.7432,-75.2242
969717,19171,Stargate Connections Inc.,49.1707,-122.7326,395766,CloudPBX,40.7432,-75.2242
969725,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.8928,-119.4852
969731,54527,Astute Hosting Inc.,49.2866,-123.1158,395766,CloudPBX,40.7432,-75.2242
969794,6327,Shaw Communications Inc.,49.2436,-122.7865,395766,CloudPBX,40.7432,-75.2242
969854,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,48.4167,-123.365
969855,852,TELUS Communications Inc.,49.262,-123.0923,395766,CloudPBX,40.7432,-75.2242
970036,19171,Stargate Connections Inc.,49.2767,-123.13,395766,CloudPBX,40.7432,-75.2242
970103,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.1707,-122.7326
970125,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.2788,-123.1139
970154,852,TELUS Communications Inc.,49.0374,-122.8299,395766,CloudPBX,40.7432,-75.2242
970171,852,TELUS Communications Inc.,50.0163,-124.3226,395766,CloudPBX,40.7432,-75.2242
970200,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.2795,-123.0667
970243,6327,Shaw Communications Inc.,49.2795,-123.0667,395766,CloudPBX,40.7432,-75.2242
970245,852,TELUS Communications Inc.,49.0384,-122.3485,395766,CloudPBX,40.7432,-75.2242
970281,852,TELUS Communications Inc.,49.2788,-123.1139,395766,CloudPBX,40.7432,-75.2242
970284,19171,Stargate Connections Inc.,49.2795,-123.0667,395766,CloudPBX,40.7432,-75.2242
970307,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.2275,-122.9301
970423,6327,Shaw Communications Inc.,49.1889,-122.873,395766,CloudPBX,40.7432,-75.2242
970555,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,48.4267,-123.3655
970659,852,TELUS Communications Inc.,49.8928,-119.4852,395766,CloudPBX,40.7432,-75.2242
970816,577,Bell Canada,43.8113,-79.193,395766,CloudPBX,40.7432,-75.2242
971078,13768,Cogeco Peer 1,49.2344,-123.1451,395766,CloudPBX,40.7432,-75.2242
971079,852,TELUS Communications Inc.,53.7168,-113.2187,395766,CloudPBX,40.7432,-75.2242
971249,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,50.1122,-120.7942
971326,6327,Shaw Communications Inc.,49.8928,-119.4852,395766,CloudPBX,40.7432,-75.2242
971435,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.2667,-122.7833
