,,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,b_saddr_asn,b_saddr_asorg
78114914,2018-05-23,3227975507,405974866,393755,CloudPBX,40788,Start Communications
75262242,2018-04-23,3227975507,405974869,393755,CloudPBX,40788,Start Communications
75263028,2018-04-23,3227975506,405974869,393755,CloudPBX,40788,Start Communications
75750234,2018-04-26,3227975506,405974904,393755,CloudPBX,40788,Start Communications
75831196,2018-04-27,3227975506,405975215,393755,CloudPBX,40788,Start Communications
75831485,2018-04-27,3227975507,405975215,393755,CloudPBX,40788,Start Communications
76126921,2018-05-01,3227975507,405975236,393755,CloudPBX,40788,Start Communications
76137315,2018-05-01,3227975506,405975236,393755,CloudPBX,40788,Start Communications
65125871,2018-01-10,3227975507,405975261,393755,CloudPBX,40788,Start Communications
65140318,2018-01-10,3227975506,405975261,393755,CloudPBX,40788,Start Communications
66116695,2018-01-23,1654599251,405975261,395766,CloudPBX,40788,Start Communications
66120494,2018-01-23,3227975251,405975261,395152,CloudPBX,40788,Start Communications
66152130,2018-01-23,3227975250,405975261,395152,CloudPBX,40788,Start Communications
66165233,2018-01-24,1654599250,405975261,395766,CloudPBX,40788,Start Communications
75892875,2018-04-27,3227975506,405975350,393755,CloudPBX,40788,Start Communications
76040861,2018-04-30,3227975507,405975350,393755,CloudPBX,40788,Start Communications
75255151,2018-04-22,3227975251,405975351,395152,CloudPBX,40788,Start Communications
75258409,2018-04-22,3227975250,405975351,395152,CloudPBX,40788,Start Communications
66478253,2018-01-29,3227975506,405975515,393755,CloudPBX,40788,Start Communications
66614634,2018-01-30,3227975507,405975515,393755,CloudPBX,40788,Start Communications
64507049,2018-01-02,3227975506,405975594,393755,CloudPBX,40788,Start Communications
64508564,2018-01-02,3227975507,405975594,393755,CloudPBX,40788,Start Communications
74399507,2018-04-13,3227975251,405975608,395152,CloudPBX,40788,Start Communications
74418995,2018-04-13,3227975250,405975608,395152,CloudPBX,40788,Start Communications
75442930,2018-04-24,3227975507,405975617,393755,CloudPBX,40788,Start Communications
75477285,2018-04-24,3227975506,405975617,393755,CloudPBX,40788,Start Communications
65893656,2018-01-19,3227975507,405975663,393755,CloudPBX,40788,Start Communications
65902065,2018-01-19,3227975506,405975663,393755,CloudPBX,40788,Start Communications
75283051,2018-04-23,3227975507,405975773,393755,CloudPBX,40788,Start Communications
75299613,2018-04-23,3227975506,405975773,393755,CloudPBX,40788,Start Communications
77735024,2018-05-16,3227975506,405975800,393755,CloudPBX,40788,Start Communications
76618435,2018-05-04,3227975506,405976133,393755,CloudPBX,40788,Start Communications
77792774,2018-05-16,3227975250,405976237,395152,CloudPBX,40788,Start Communications
77822290,2018-05-17,3227975251,405976237,395152,CloudPBX,40788,Start Communications
78035067,2018-05-22,3227975507,405976237,393755,CloudPBX,40788,Start Communications
75953108,2018-04-29,3227975506,405976275,393755,CloudPBX,40788,Start Communications
75958221,2018-04-30,3227975507,405976275,393755,CloudPBX,40788,Start Communications
77687154,2018-05-15,3227975250,405976310,395152,CloudPBX,40788,Start Communications
77700716,2018-05-15,3227975251,405976310,395152,CloudPBX,40788,Start Communications
77702062,2018-05-15,3227975506,405976310,393755,CloudPBX,40788,Start Communications
75591501,2018-04-25,3227975506,405976391,393755,CloudPBX,40788,Start Communications
75592783,2018-04-25,3227975507,405976391,393755,CloudPBX,40788,Start Communications
77494945,2018-05-14,3227975506,405976688,393755,CloudPBX,40788,Start Communications
77501516,2018-05-14,3227975507,405976688,393755,CloudPBX,40788,Start Communications
77017138,2018-05-09,3227975507,405976992,393755,CloudPBX,40788,Start Communications
77019884,2018-05-09,3227975506,405976992,393755,CloudPBX,40788,Start Communications
64531000,2018-01-02,3227975507,405977053,393755,CloudPBX,40788,Start Communications
64563811,2018-01-02,3227975506,405977053,393755,CloudPBX,40788,Start Communications
74725767,2018-04-17,3227975506,405977188,393755,CloudPBX,40788,Start Communications
74888399,2018-04-18,3227975507,405977188,393755,CloudPBX,40788,Start Communications
67214198,2018-02-05,3227975506,405977269,393755,CloudPBX,40788,Start Communications
67241937,2018-02-05,3227975507,405977269,393755,CloudPBX,40788,Start Communications
67836203,2018-02-09,3227975251,405977353,395152,CloudPBX,40788,Start Communications
67839203,2018-02-09,3227975250,405977353,395152,CloudPBX,40788,Start Communications
69057013,2018-02-22,3227975506,405977353,393755,CloudPBX,40788,Start Communications
69059982,2018-02-22,3227975507,405977353,393755,CloudPBX,40788,Start Communications
70658298,2018-03-09,1654599250,405977353,395766,CloudPBX,40788,Start Communications
78728679,2018-05-31,3227975506,405977522,393755,CloudPBX,40788,Start Communications
77677125,2018-05-15,3227975507,405977582,393755,CloudPBX,40788,Start Communications
77701413,2018-05-15,3227975506,405977582,393755,CloudPBX,40788,Start Communications
68022582,2018-02-13,3227975507,405977619,393755,CloudPBX,40788,Start Communications
68042868,2018-02-13,3227975506,405977619,393755,CloudPBX,40788,Start Communications
74192260,2018-04-11,3227975250,405977978,395152,CloudPBX,40788,Start Communications
74255620,2018-04-11,3227975251,405977978,395152,CloudPBX,40788,Start Communications
64952327,2018-01-08,3227975506,405978084,393755,CloudPBX,40788,Start Communications
64953346,2018-01-08,3227975507,405978084,393755,CloudPBX,40788,Start Communications
66111084,2018-01-23,1654599250,405978084,395766,CloudPBX,40788,Start Communications
66112609,2018-01-23,3227975250,405978084,395152,CloudPBX,40788,Start Communications
66120207,2018-01-23,3227975251,405978084,395152,CloudPBX,40788,Start Communications
66128863,2018-01-23,1654599251,405978084,395766,CloudPBX,40788,Start Communications
74067315,2018-04-10,3227975506,405978301,393755,CloudPBX,40788,Start Communications
