,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long,send_A
17697,3227975251,3236611778,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,14007,Skyway West,192.234.198.194,49.222,-123.0683,False
17718,2675364373,3227975250,11492,"Cable One, Inc.",159.118.210.21,30.4672,-89.2763,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
17867,3227975250,2675364373,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,11492,"Cable One, Inc.",159.118.210.21,30.4672,-89.2763,False
17955,2892906962,3227975251,15290,Allstream Corp.,172.110.65.210,43.6655,-79.4204,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
17995,3227975251,1244849474,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,14007,Skyway West,74.50.229.66,49.316,-123.0576,False
18223,3227975250,3512424079,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,209.91.86.143,53.585,-113.5526,False
18293,3091427666,3227975250,6327,Shaw Communications Inc.,184.67.113.82,49.2167,-122.9167,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
18444,3227975251,3512424079,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,209.91.86.143,53.585,-113.5526,False
18530,1268596475,3227975250,852,TELUS Communications Inc.,75.157.62.251,49.0384,-122.3485,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
18571,3227975250,3236611778,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,14007,Skyway West,192.234.198.194,49.222,-123.0683,False
18572,1178711303,3227975250,6327,Shaw Communications Inc.,70.65.181.7,49.6511,-112.8351,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
19096,3475125993,3227975250,6171,WorldGate,207.34.54.233,53.4154,-113.4178,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
19711,407950571,3227975250,6327,Shaw Communications Inc.,24.80.212.235,49.2788,-123.1139,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
19808,3487047224,3227975250,852,TELUS Communications Inc.,207.216.30.56,49.2788,-123.1139,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
19894,1244849474,3227975251,14007,Skyway West,74.50.229.66,49.316,-123.0576,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
20102,3227975251,1090360462,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,19171,Stargate Connections Inc.,64.253.148.142,49.2866,-123.1158,False
20350,1077449335,3227975251,15102,WiBand Communications,64.56.146.119,53.4179,-113.5785,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
20695,1268596475,3227975251,852,TELUS Communications Inc.,75.157.62.251,49.0384,-122.3485,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
20696,3227975251,3455714514,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,205.250.4.210,49.076,-121.9883,False
20778,1653560011,3227975250,19171,Stargate Connections Inc.,98.143.82.203,49.2795,-123.0667,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
21127,3227975251,1090362003,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,19171,Stargate Connections Inc.,64.253.154.147,49.2666,-123.1976,False
21487,3227975251,1167871176,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,577,Bell Canada,69.156.76.200,43.6555,-79.3626,False
21501,3227975251,386989957,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,23.16.255.133,49.0791,-122.7553,False
21622,1674027313,3227975251,852,TELUS Communications Inc.,99.199.161.49,49.0423,-122.2835,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
21632,3227975251,1614246579,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,6327,Shaw Communications Inc.,96.55.114.179,49.0997,-122.6526,False
21718,3455714514,3227975251,852,TELUS Communications Inc.,205.250.4.210,49.076,-121.9883,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
21723,3227975251,1268596475,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,75.157.62.251,49.0384,-122.3485,False
21836,3227975251,1268774617,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,75.159.246.217,51.0242,-114.1004,False
21887,3227975250,386989957,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,23.16.255.133,49.0791,-122.7553,False
21912,1268774617,3227975251,852,TELUS Communications Inc.,75.159.246.217,51.0242,-114.1004,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
22396,3227975250,3512272902,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,209.89.8.6,53.7168,-113.2187,False
22397,2919739481,3227975251,6327,Shaw Communications Inc.,174.7.176.89,49.2833,-123.1298,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
22776,3227975250,3463712682,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,206.116.15.170,49.2327,-123.0917,False
