"MIN(calldate)","MAX(calldate)","INET_NTOA(sipcallerip)","COUNT(sipcallerip)"
"2018-05-01 16:01:10","2018-05-31 18:33:06","192.102.254.83",307
"2018-05-01 00:01:58","2018-05-18 19:09:39","192.102.255.82",303
"2018-05-22 16:23:02","2018-05-31 19:02:07","98.159.46.83",302
"2018-05-03 16:18:10","2018-05-31 19:06:13","208.89.129.46",301
"2018-05-01 16:35:24","2018-05-31 19:03:12","192.102.254.82",298
"2018-05-07 17:19:47","2018-05-31 18:25:36","192.102.255.80",297
"2018-05-01 12:10:22","2018-05-31 18:53:37","192.102.255.80",296
"2018-05-04 20:30:12","2018-05-26 19:45:39","192.102.255.80",295
"2018-05-01 14:11:32","2018-05-31 18:52:39","192.102.255.80",290
"2018-05-01 17:23:54","2018-05-31 19:19:47","192.102.254.82",290
"2018-05-01 14:18:02","2018-05-31 19:25:37","192.102.255.80",287
"2018-05-01 15:08:44","2018-05-31 15:37:50","192.102.255.80",282
"2018-05-02 13:15:54","2018-05-31 19:06:08","192.102.255.83",282
"2018-05-01 17:27:52","2018-05-31 19:05:07","192.102.254.83",281
"2018-05-01 17:16:08","2018-05-31 19:20:16","192.102.254.82",280
"2018-05-01 02:49:04","2018-05-31 18:38:16","192.102.255.82",275
"2018-05-01 15:20:18","2018-05-31 19:23:01","98.159.46.83",271
"2018-05-01 16:40:36","2018-05-31 17:53:54","192.102.254.82",267
"2018-05-01 15:35:34","2018-05-31 18:21:33","192.102.254.82",263
"2018-05-01 13:05:52","2018-05-31 18:59:49","192.102.255.80",262
"2018-05-01 16:46:07","2018-05-31 17:45:09","192.102.254.82",261
"2018-05-07 11:09:51","2018-05-31 19:16:37","192.102.255.82",258
"2018-05-01 13:48:20","2018-05-31 15:22:33","192.102.255.80",253
"2018-05-01 12:26:17","2018-05-31 18:40:09","98.159.46.83",249
"2018-05-01 12:42:55","2018-05-05 15:24:18","192.102.255.82",248
"2018-05-01 00:00:27","2018-05-31 18:43:43","192.102.254.83",248
"2018-05-01 18:42:23","2018-05-31 19:09:38","192.102.254.83",247
"2018-05-01 14:31:29","2018-05-31 18:58:37","192.102.254.83",247
"2018-05-08 15:38:16","2018-05-29 17:31:50","192.102.255.83",245
"2018-05-24 09:44:59","2018-05-31 19:24:42","192.102.255.82",245
"2018-05-07 18:07:39","2018-05-31 18:02:04","192.102.255.82",244
"2018-05-07 11:49:04","2018-05-31 19:04:40","192.102.255.80",243
"2018-05-07 08:16:27","2018-05-31 18:45:28","192.102.255.80",243
"2018-05-07 13:00:41","2018-05-22 20:01:19","192.102.255.80",243
"2018-05-01 16:09:05","2018-05-31 19:30:12","192.102.254.82",237
"2018-05-07 10:30:11","2018-05-31 19:05:19","192.102.255.83",235
"2018-05-01 15:57:39","2018-05-31 15:52:28","192.102.255.82",230
"2018-05-01 12:26:21","2018-05-31 18:49:04","192.102.255.80",228
"2018-05-01 15:54:49","2018-05-31 17:46:53","192.102.254.82",225
"2018-05-01 11:58:36","2018-05-31 18:55:15","192.102.255.83",223
"2018-05-01 17:08:21","2018-05-31 18:53:26","192.102.254.82",221
"2018-05-16 17:35:42","2018-05-31 19:03:15","192.102.255.82",219
"2018-05-06 11:01:42","2018-05-31 19:03:39","192.102.255.82",216
"2018-05-01 16:39:59","2018-05-31 18:42:57","192.102.254.83",211
"2018-05-01 16:42:38","2018-05-31 19:12:34","192.102.254.82",211
"2018-05-01 14:46:14","2018-05-31 19:05:50","192.102.255.83",211
"2018-05-07 14:28:31","2018-05-15 13:54:49","192.102.255.80",210
"2018-05-01 10:59:12","2018-05-31 14:19:53","192.102.255.82",209
"2018-05-01 11:06:16","2018-05-31 18:49:08","98.159.46.82",208
"2018-05-01 17:38:26","2018-05-31 18:46:15","192.102.255.82",207
"2018-05-01 12:11:21","2018-05-31 18:42:11","192.102.255.82",206
"2018-05-14 17:17:56","2018-05-31 19:18:35","98.159.46.83",206
"2018-05-01 17:09:40","2018-05-31 18:57:26","192.102.254.83",204
