"calldate_first","calldate_last","INET_NTOA(sipcallerip)","calls_qty_per_ip","connect_duration_minutes"
"2018-01-02 14:05:43","2018-05-31 18:25:03","45.78.166.210",2648,5354.1000
"2018-01-02 17:37:15","2018-05-31 18:58:29","162.213.157.228",1824,5345.8667
"2018-01-02 17:29:35","2018-05-31 19:16:56","74.116.216.210",2025,5207.2333
"2018-01-02 14:07:51","2018-05-31 19:29:14","104.14.240.169",3478,5171.9000
"2018-01-02 16:17:19","2018-05-31 15:07:35","50.193.89.157",2653,5134.0000
"2018-01-01 22:15:38","2018-05-31 18:42:37","174.6.13.31",2519,5052.4000
"2018-01-02 16:56:19","2018-02-01 19:28:03","208.118.140.2",1826,5028.3167
"2018-01-02 15:49:55","2018-05-30 15:52:58","99.97.14.35",2690,5014.8500
"2018-01-03 16:50:23","2018-05-31 18:17:08","207.81.117.195",1741,4966.4667
"2018-01-02 16:47:30","2018-05-31 19:03:24","72.38.167.211",1973,4938.0000
"2018-01-02 17:02:44","2018-05-31 18:46:21","24.84.156.55",1292,4867.4167
"2018-01-02 15:11:56","2018-05-31 18:49:03","72.139.17.198",1374,4865.6167
"2018-01-02 17:49:04","2018-05-31 19:21:51","216.221.68.123",1300,4865.5833
"2018-01-01 22:58:58","2018-05-30 21:48:24","50.92.169.23",1300,4797.2833
"2018-01-02 14:40:08","2018-05-31 15:39:20","207.54.112.113",921,4671.2167
"2018-01-02 13:35:53","2018-05-31 19:10:11","192.186.66.62",2664,4655.0667
"2018-01-02 15:48:07","2018-05-31 18:39:07","207.34.54.233",2322,4653.2833
"2018-02-16 16:34:51","2018-05-28 20:40:40","76.112.85.74",494,4651.8667
"2018-01-01 15:17:41","2018-05-31 18:52:31","99.239.72.195",1321,4592.3500
"2018-01-02 14:09:18","2018-05-23 14:09:56","172.14.150.86",2459,4519.0167
"2018-01-03 21:51:26","2018-03-08 19:49:11","64.253.154.98",1566,4469.4333
"2018-01-02 14:01:01","2018-05-31 17:10:56","72.38.217.247",2494,4444.2500
"2018-01-02 19:37:48","2018-05-30 21:46:57","207.216.41.194",726,4418.1000
"2018-01-02 21:03:18","2018-05-31 15:41:23","184.68.158.114",499,4389.5500
"2018-01-02 16:04:29","2018-05-31 19:27:24","96.21.23.38",2452,4310.1833
"2018-01-02 12:49:50","2018-05-31 19:29:33","24.146.42.163",3915,4310.0167
"2018-03-15 15:40:04","2018-04-18 20:37:16","24.50.169.115",2460,4306.0000
"2018-01-02 13:54:04","2018-05-31 14:53:54","72.38.167.215",1984,4240.3167
"2018-01-03 13:41:06","2018-02-01 14:16:22","70.30.149.43",1692,4209.7167
"2018-01-02 14:46:49","2018-05-31 17:00:11","205.250.4.210",287,4200.5333
"2018-01-02 14:29:10","2018-05-31 18:59:40","97.78.214.182",2514,4183.0167
"2018-01-05 20:04:12","2018-05-31 18:25:05","173.167.178.189",2273,4179.2167
"2018-02-12 13:04:55","2018-04-25 10:46:11","24.50.169.25",2392,4147.7333
"2018-01-04 00:21:15","2018-05-31 17:29:27","99.199.93.187",687,4144.0333
"2018-04-09 17:36:16","2018-05-31 18:10:43","99.199.111.22",547,4142.3833
"2018-01-02 14:54:29","2018-05-31 19:29:05","209.15.222.234",1975,4089.5667
"2018-01-02 18:05:41","2018-02-15 21:36:20","104.250.93.63",1550,4075.8500
"2018-01-02 16:49:04","2018-05-30 01:14:13","184.68.150.146",2097,4057.4667
"2018-01-01 22:20:22","2018-05-31 16:33:43","24.85.12.83",429,4052.1833
"2018-01-02 16:06:01","2018-05-31 17:02:38","173.165.117.93",1506,4046.8667
"2018-01-03 16:12:30","2018-05-31 19:26:52","24.37.216.114",2211,4038.4167
"2018-01-02 17:55:23","2018-05-31 17:31:01","50.68.55.186",1218,4007.0667
"2018-01-02 17:41:02","2018-02-01 21:01:29","75.155.254.235",808,3949.4500
"2018-05-01 21:29:03","2018-05-31 19:22:02","98.143.92.246",1466,3943.9833
"2018-01-02 17:37:22","2018-05-30 20:45:32","50.98.129.207",458,3846.2000
"2018-03-09 17:12:51","2018-05-31 19:19:29","216.221.66.104",2244,3842.4667
"2018-01-02 18:50:05","2018-05-31 19:11:58","50.246.105.249",1430,3819.8000
"2018-01-02 19:56:03","2018-05-30 20:01:05","75.157.20.112",312,3742.0000
"2018-01-02 16:42:01","2018-02-22 22:47:45","24.80.121.127",770,3718.1000
"2018-01-04 18:07:22","2018-05-31 15:30:48","204.101.128.42",478,3708.0500
"2018-01-02 12:50:26","2018-05-31 19:06:22","142.112.35.34",1106,3694.2833
"2018-01-02 16:08:11","2018-05-09 15:40:46","23.16.255.133",2787,3646.5000
"2018-01-02 11:21:02","2018-03-07 18:10:18","71.7.183.178",1341,3644.2833
"2018-01-02 14:51:55","2018-05-31 18:32:50","72.38.68.242",548,3618.9167
"2018-01-01 22:59:06","2018-05-31 11:15:18","104.250.92.226",2968,3614.3167
