,,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_asip,b_saddr_asn,b_saddr_asorg,b_saddr_asip
75262242,2018-04-23,3227975507,405974869,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.175.85
75263028,2018-04-23,3227975506,405974869,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.175.85
75750234,2018-04-26,3227975506,405974904,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.175.120
75831196,2018-04-27,3227975506,405975215,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.176.175
75831485,2018-04-27,3227975507,405975215,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.176.175
76126921,2018-05-01,3227975507,405975236,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.176.196
76137315,2018-05-01,3227975506,405975236,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.176.196
65125871,2018-01-10,3227975507,405975261,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.176.221
65140318,2018-01-10,3227975506,405975261,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.176.221
66116695,2018-01-23,1654599251,405975261,395766,CloudPBX,98.159.46.83,40788,Start Communications,24.50.176.221
66120494,2018-01-23,3227975251,405975261,395152,CloudPBX,192.102.254.83,40788,Start Communications,24.50.176.221
66152130,2018-01-23,3227975250,405975261,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.176.221
66165233,2018-01-24,1654599250,405975261,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.176.221
