,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
20696,3227975251,395152,CloudPBX,43.6319,-79.3716,3455714514,852,TELUS Communications Inc.,49.076,-121.9883
20778,1653560011,19171,Stargate Connections Inc.,49.2795,-123.0667,3227975250,395152,CloudPBX,43.6319,-79.3716
21127,3227975251,395152,CloudPBX,43.6319,-79.3716,1090362003,19171,Stargate Connections Inc.,49.2666,-123.1976
21487,3227975251,395152,CloudPBX,43.6319,-79.3716,1167871176,577,Bell Canada,43.6555,-79.3626
21501,3227975251,395152,CloudPBX,43.6319,-79.3716,386989957,852,TELUS Communications Inc.,49.0791,-122.7553
21622,1674027313,852,TELUS Communications Inc.,49.0423,-122.2835,3227975251,395152,CloudPBX,43.6319,-79.3716
21632,3227975251,395152,CloudPBX,43.6319,-79.3716,1614246579,6327,Shaw Communications Inc.,49.0997,-122.6526
21718,3455714514,852,TELUS Communications Inc.,49.076,-121.9883,3227975251,395152,CloudPBX,43.6319,-79.3716
21723,3227975251,395152,CloudPBX,43.6319,-79.3716,1268596475,852,TELUS Communications Inc.,49.0384,-122.3485
21836,3227975251,395152,CloudPBX,43.6319,-79.3716,1268774617,852,TELUS Communications Inc.,51.0242,-114.1004
21887,3227975250,395152,CloudPBX,43.6319,-79.3716,386989957,852,TELUS Communications Inc.,49.0791,-122.7553
21912,1268774617,852,TELUS Communications Inc.,51.0242,-114.1004,3227975251,395152,CloudPBX,43.6319,-79.3716
22396,3227975250,395152,CloudPBX,43.6319,-79.3716,3512272902,852,TELUS Communications Inc.,53.7168,-113.2187
22397,2919739481,6327,Shaw Communications Inc.,49.2833,-123.1298,3227975251,395152,CloudPBX,43.6319,-79.3716
22776,3227975250,395152,CloudPBX,43.6319,-79.3716,3463712682,852,TELUS Communications Inc.,49.2327,-123.0917
22885,3227975250,395152,CloudPBX,43.6319,-79.3716,386965699,852,TELUS Communications Inc.,49.2795,-123.0667
22888,3227975251,395152,CloudPBX,43.6319,-79.3716,1077449335,15102,WiBand Communications,53.4179,-113.5785
23188,3091427666,6327,Shaw Communications Inc.,49.2167,-122.9167,3227975251,395152,CloudPBX,43.6319,-79.3716
23349,1653559798,19171,Stargate Connections Inc.,49.2478,-122.9938,3227975250,395152,CloudPBX,43.6319,-79.3716
23413,1090360462,19171,Stargate Connections Inc.,49.2866,-123.1158,3227975251,395152,CloudPBX,43.6319,-79.3716
23466,3091700558,6327,Shaw Communications Inc.,49.141,-122.8569,3227975251,395152,CloudPBX,43.6319,-79.3716
23607,1674014486,852,TELUS Communications Inc.,49.299,-123.1408,3227975251,395152,CloudPBX,43.6319,-79.3716
23678,3227975250,395152,CloudPBX,43.6319,-79.3716,1077449335,15102,WiBand Communications,53.4179,-113.5785
23800,3624749586,15290,Allstream Corp.,43.5924,-79.7611,3227975250,395152,CloudPBX,43.6319,-79.3716
23803,3227975250,395152,CloudPBX,43.6319,-79.3716,2892906962,15290,Allstream Corp.,43.6655,-79.4204
23961,3475125993,6171,WorldGate,53.4154,-113.4178,3227975251,395152,CloudPBX,43.6319,-79.3716
23966,1090362003,19171,Stargate Connections Inc.,49.2666,-123.1976,3227975251,395152,CloudPBX,43.6319,-79.3716
24015,3227975251,395152,CloudPBX,43.6319,-79.3716,1677282775,812,Rogers Communications Canada Inc.,44.0433,-79.4912
24059,3227975250,395152,CloudPBX,43.6319,-79.3716,3497430254,19171,Stargate Connections Inc.,49.2788,-123.1139
24236,407950571,6327,Shaw Communications Inc.,49.2788,-123.1139,3227975251,395152,CloudPBX,43.6319,-79.3716
24466,3227975250,395152,CloudPBX,43.6319,-79.3716,3475125993,6171,WorldGate,53.4154,-113.4178
24484,3227975251,395152,CloudPBX,43.6319,-79.3716,1090360550,19171,Stargate Connections Inc.,49.2866,-123.1158
24821,2731908580,54527,Astute Hosting Inc.,49.2866,-123.1158,3227975250,395152,CloudPBX,43.6319,-79.3716
24841,3487073957,852,TELUS Communications Inc.,49.2603,-123.146,3227975250,395152,CloudPBX,43.6319,-79.3716
24899,3227975250,395152,CloudPBX,43.6319,-79.3716,1090360938,19171,Stargate Connections Inc.,49.1707,-122.7326
24967,1653562909,19171,Stargate Connections Inc.,49.316,-123.0576,3227975251,395152,CloudPBX,43.6319,-79.3716
25096,3497430254,19171,Stargate Connections Inc.,49.2788,-123.1139,3227975250,395152,CloudPBX,43.6319,-79.3716
25167,3227975250,395152,CloudPBX,43.6319,-79.3716,3091631882,6327,Shaw Communications Inc.,49.2788,-123.1139
25224,3227975250,395152,CloudPBX,43.6319,-79.3716,1210508163,7992,Cogeco Cable,42.9888,-82.3592
25244,1653559798,19171,Stargate Connections Inc.,49.2478,-122.9938,3227975251,395152,CloudPBX,43.6319,-79.3716
25308,3227975251,395152,CloudPBX,43.6319,-79.3716,1614103491,6327,Shaw Communications Inc.,49.0787,-121.6098
25389,3227975250,395152,CloudPBX,43.6319,-79.3716,3350650146,19171,Stargate Connections Inc.,49.2478,-122.9938
25543,1674006569,852,TELUS Communications Inc.,49.3397,-123.1912,3227975251,395152,CloudPBX,43.6319,-79.3716
25832,1806931219,5645,"TekSavvy Solutions, Inc.",43.6784,-79.2941,3227975251,395152,CloudPBX,43.6319,-79.3716
25835,3227975251,395152,CloudPBX,43.6319,-79.3716,3478222275,852,TELUS Communications Inc.,49.2795,-123.0667
25940,3227975250,395152,CloudPBX,43.6319,-79.3716,1614103491,6327,Shaw Communications Inc.,49.0787,-121.6098
25984,3227975250,395152,CloudPBX,43.6319,-79.3716,1090360462,19171,Stargate Connections Inc.,49.2866,-123.1158
26303,2919739481,6327,Shaw Communications Inc.,49.2833,-123.1298,3227975250,395152,CloudPBX,43.6319,-79.3716
26463,3091581862,6327,Shaw Communications Inc.,52.3834,-113.7853,3227975250,395152,CloudPBX,43.6319,-79.3716
26478,2919331100,6327,Shaw Communications Inc.,49.1661,-122.5792,3227975251,395152,CloudPBX,43.6319,-79.3716
26830,3227975251,395152,CloudPBX,43.6319,-79.3716,3497430254,19171,Stargate Connections Inc.,49.2788,-123.1139
26875,3227975251,395152,CloudPBX,43.6319,-79.3716,2919736882,6327,Shaw Communications Inc.,49.299,-123.1408
26882,1090360938,19171,Stargate Connections Inc.,49.1707,-122.7326,3227975250,395152,CloudPBX,43.6319,-79.3716
27003,1090360938,19171,Stargate Connections Inc.,49.1707,-122.7326,3227975251,395152,CloudPBX,43.6319,-79.3716
27082,3227975251,395152,CloudPBX,43.6319,-79.3716,1178711303,6327,Shaw Communications Inc.,49.6511,-112.8351
27267,3227975250,395152,CloudPBX,43.6319,-79.3716,3091587566,6327,Shaw Communications Inc.,53.5333,-113.9167
27935,3497430155,19171,Stargate Connections Inc.,49.2788,-123.1139,3227975250,395152,CloudPBX,43.6319,-79.3716
28149,1653562909,19171,Stargate Connections Inc.,49.316,-123.0576,3227975250,395152,CloudPBX,43.6319,-79.3716
28715,3227975250,395152,CloudPBX,43.6319,-79.3716,3091427666,6327,Shaw Communications Inc.,49.2167,-122.9167
