,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
21118,1179661323,5769,Videotron Telecom Ltee,45.5354,-73.6061,1654599251,395766,CloudPBX,40.7432,-75.2242
21653,1745054491,7018,"AT&T Services, Inc.",39.7132,-86.2617,1654599250,395766,CloudPBX,40.7432,-75.2242
22057,1676003536,812,Rogers Communications Canada Inc.,43.6572,-79.3783,1654599250,395766,CloudPBX,40.7432,-75.2242
22241,1654599250,395766,CloudPBX,40.7432,-75.2242,3638379076,7992,Cogeco Cable,42.9888,-82.3592
23801,1654599251,395766,CloudPBX,40.7432,-75.2242,1675902784,812,Rogers Communications Canada Inc.,43.8582,-79.3985
23805,1654599251,395766,CloudPBX,40.7432,-75.2242,1616866354,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368
24332,1654599251,395766,CloudPBX,40.7432,-75.2242,3640363090,14007,Skyway West,49.2788,-123.1139
24489,1654599251,395766,CloudPBX,40.7432,-75.2242,1229012093,7922,"Comcast Cable Communications, LLC",44.9198,-93.4832
24662,2904575889,812,Rogers Communications Canada Inc.,47.5986,-52.6926,1654599250,395766,CloudPBX,40.7432,-75.2242
24809,2904575889,812,Rogers Communications Canada Inc.,47.5986,-52.6926,1654599251,395766,CloudPBX,40.7432,-75.2242
25072,1654599251,395766,CloudPBX,40.7432,-75.2242,855010549,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783
25073,855187221,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199,1654599251,395766,CloudPBX,40.7432,-75.2242
25201,1654599250,395766,CloudPBX,40.7432,-75.2242,1676003536,812,Rogers Communications Canada Inc.,43.6572,-79.3783
25677,2914149279,5769,Videotron Telecom Ltee,45.504,-73.5747,1654599251,395766,CloudPBX,40.7432,-75.2242
25914,2393257380,855,Bell Canada,47.5334,-52.7595,1654599251,395766,CloudPBX,40.7432,-75.2242
26874,1632558126,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264,1654599250,395766,CloudPBX,40.7432,-75.2242
27158,2926711620,812,Rogers Communications Canada Inc.,47.5334,-52.7595,1654599251,395766,CloudPBX,40.7432,-75.2242
27198,1654599251,395766,CloudPBX,40.7432,-75.2242,2393314965,855,Bell Canada,47.5194,-52.8122
27845,1654599250,395766,CloudPBX,40.7432,-75.2242,405133426,5769,Videotron Telecom Ltee,45.5394,-73.6513
27847,405133426,5769,Videotron Telecom Ltee,45.5394,-73.6513,1654599250,395766,CloudPBX,40.7432,-75.2242
29468,1654599251,395766,CloudPBX,40.7432,-75.2242,405133426,5769,Videotron Telecom Ltee,45.5394,-73.6513
29841,1616866353,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,1654599251,395766,CloudPBX,40.7432,-75.2242
30482,1654599251,395766,CloudPBX,40.7432,-75.2242,1676840295,812,Rogers Communications Canada Inc.,48.9682,-54.5906
31591,1210508163,7992,Cogeco Cable,42.9888,-82.3592,1654599250,395766,CloudPBX,40.7432,-75.2242
